start time 0:hr:min:sec,end time 0:hr:min:sec,Layer,Annotations,Layer
0:00:00.000,0:00:10.0,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound with mid pitch, low volume wavering static tone",
0:00:03.25,0:02:10.00,Electronic tones and distortions,"Polyphonic electronic sound which loops on a ~4 second interval from low pitch and low volume to combined low and mid pitch and mid volume. Periodic pop with hard onset and offset, mid pitch and mid volume at the beginning of each loop.",
0:00:10.1,0:01:27.0,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound continues. Wavering static sound has more pronounced fluctuations at mid volume and generally mid pitch.",
0:00:21.37,0:00:36.0,Speaking voices,"Oana's voice, smooth and clear, with aspirant onset and offset, mid volume and mid pitch. Pauses within phrases and between them. Emphasis on ""the subject"" and ""brute future,"" which are louder than the surrounding words and uttered with more defined onest. ",
0:00:37.23,0:00:48,Friction sounds,"High volume, harsh windy sound which begins across all pitches, then decreases volume and increases pitch gradually until inaudible",
0:00:48.85,0:00:56.5,"Speaking voices, electronic tones and distortions","Two low pitch voices distorted by static sound. The first to speak is louder than the other. Each speak with a clipped, quick cadence, with few pauses within phrases or between speakers. Phrases are short and declarative. Volume decreases; last two phrases are barely audible.",
0:00:56.21,0:02:08.9,Speaking voices,"Oana's voice. Repetition of ""the subject...,"" followed by description. Phrases tend to begin with hard onset, mid volume, and clear definition of words, and progress to lower volume and less-defined words, with longer pauses between words.",
0:01:05.1,0:01:13,Friction sounds,"Muffled mid-pitch clicking sound, like ball bearings colliding. Accompanied by low pitch, windy sound. Becomes audible just as Oana says the words ""laboured hand""",
0:01:13,0:01:28.1,Friction sounds,Clicking sound no longer audible. Windy sound increases in volume and variability.,
0:01:20.7,0:01:26.0,Friction sounds,"Series of acute, generally low volume, metallic sounds that resonate. These occur on an inconsistant interval with inconsistent pitch.",
0:01:26.628,0:01:26.669,Friction sounds,"High volume, mid-high volume hollow sounding pop across all pitches, but concentrated in the low to mid range. Hard onset and offset. ",
0:01:27.0,0:01:32.45,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound continues. Wavering static sound has highly variable fluctuations at mid to high volume and high pitch.",
0:01:32.46,0:03:09.21,Electronic tones and distortions,"Low pitch, mid volume constant electronic bass sound continues. Wavering static sound fluctuates around low to mid volume and generally mid pitch.",
0:01:27.76,0:02:08.99,Speaking voices,"Oana's voice, speaking with a grave tone and relatively low pitch. Many phrases are broken up into groups of 2-4 words, which are spoken slowly with pauses between groups of words. Short i sounds, as in ""grip"" and ""abyss,"" are extended, as are s sounds in the middle/end of words. Volume decreases and onset/offset softens as she speaks. ",
0:01:35.78,0:02:03.32,Friction sounds,"Gravelley, crunching sound beginning with a period of ~0.5 second. Low to mid pitch and volume. Period becomes longer and volume decreases through this interval.",
0:01:40.66,0:02:02.04,Friction sounds,Clear scratch sound with varying pitch and generally low volume. Something like a wooden stick tracing across a wooden table.,
0:02:10.01,0:02:11:71,Electronic tones and distortions,Polyphonic electronic tone crescendoes to high volume,
0:02:11:72,0:02:18.9,Friction sounds,"Two fast pops, followed by a high volume, windy sound across all pitches. Volume decreases until sound is inaudible. ",
